No,PMID,title,year,journal,n_randomised,random1.1,conceal1.2,baselinediff1.3,rob1,interven,interven_type,blind_all,ptaware2.1,phyaware2.2,n_analysed,n_short_randomised,n_long_randomised,n_adherent_short,n_adherent_long,shortXlong,longXshort,short_protocol,long_protocol,short_actual,long_actual,intdev2.3,intdevoutcome2.4,intdevbalance2.5,pri_analysis_population,sec_analysis_pop,ana2.6,impact2.7,rob2.1,rob2.2,rob2,missing3.1,missingbias3.2,missingdepend3.3,missingdependlikely3.4,rob3,primary_outcome,fu_period_note,outcomemeasure4.1,outcomediffer4.2,assessaware4.3,assessinfluence4.4,assessinfluencelikely4.5,rob4,anaplan5.1,multioutcome5.2,multiana5.3,rob5,rob_overall,hypothesis,margin,pri_analysis_population,sec_analysis_pop,diffshown_ITT,diffshown_PP,arm_clinicalsuperior,outcome_measure,adhere_monitor,excl_prianalysis_reason,funding,diagnosis,abx_specific,abx_short,abx_long,culture_directed_insome,fu_period,fu_period_note,outcome_clinical,outcome_microb_clinical,outcome_microb_colonising,abx_se,outcome_economic,per_priclinicaloutcome_short,per_priclinicaloutcome_long,per_mortality,note
28,30264119,Effect of Algorithm-Based Therapy vs Usual Care on Clinical Success and Serious Adverse Events in Patients with Staphylococcal Bacteremia: A Randomized Clinical Trial,2018,JAMA,509,Y,Y,Y,Low risk,algorithm-based therapy vs usual practice,treatment protocol,0,Y,Y,509,255,254,207,203,Not reported,Not reported,NA,NA,4,6,NI,NA,NA,ITT,PP,PY,NA,Some concerns,Low risk,Some concerns,N,Y,NA,NA,Low risk,clinical success,42 days beyond end of therapy for those with Staphylococcus aureus and 28 days for those with coagulase-negative staphylococcal bacteremia,N,PN,Y,PY,PN,Some concerns,Y,N,N,Low risk,Some concerns,non-inferiority,15,ITT,PP,0,0,NA,absolute difference,Not reported,NA,investigator initiated,culture of sterile site,The choice and duration of antibiotics in the usual practice group was determined by the treating physician,various,various,1,42,42 days beyond end of therapy for those with Staphylococcus aureus and 28 days for those with coagulase-negative staphylococcal bacteremia,1,0,0,0,0,18,19,6,
30,29153975,"Optimisation of empirical antimicrobial therapy in patients with haematological malignancies and febrile neutropenia (How Long study): an open-label, randomised, controlled phase 4 trial",2017,Lancet Haematology,157,Y,Y,Y,Low risk,"For the experimental group, EAT was withdrawn after 72 h or more of apyrexia plus clinical recovery; for the control group, treatment was withdrawn when the neutrophil count was also 0·5 × 109 cells per L or higher.",treatment protocol,0,Y,Y,157,78,79,66,66,Not reported,Not reported,NA,NA,Not reported,Not reported,NI,NA,NA,ITT,PP,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,duration of antibiotic free days,median 30 days,N,N,Y,PN,NA,Low risk,Y,N,N,Low risk,Some concerns,superiority,NA,ITT,PP,0,0,NA,duration of antibiotic free days,Not reported,NA,investigator initiated,clinical syndrome,antipseudomonal β-lactam drug as monotherapy or as combination therapy,various,various,0,30,median 30 days,1,0,0,1,0,NA,NA,3,clinical outcomes reported were side effects of antibiotics
31,28711318,"Procalcitonin-guided decision making for duration of antibiotic therapy in neonates with suspected early-onset sepsis: a multicentre, randomised controlled trial (NeoPIns)",2017,Lancet,1710,Y,Y,Y,Low risk,"Using score to risk stratify for probability of infection (included population of patients with low risk of infection), then use procalcitonin",inflammatory markers,0,Y,Y,1710,866,844,565,435,180,198,NA,NA,2,3,NI,NA,NA,ITT,mITT,N,PN,Some concerns,Some concerns,Some concerns,Y,NA,NA,NA,Low risk,re-infection or death in the first month of life,first month of life,N,PN,Y,PY,PN,Some concerns,Y,PN,N,Low risk,Some concerns,non-inferiority,2,ITT,mITT,1,1,long,absolute difference,Medical chart,NA,investigator initiated,clinical syndrome,,various,various,1,30,first month of life,1,0,0,0,hospital los,1,1,1,PP population analysed included those not adherent to the protocol. I have subtracted those numbers from the PP population (really should be mITT). Infection deemed unlikely in 42%
35,28398692,Seven versus 10 days antibiotic therapy for culture-proven neonatal sepsis: A randomised controlled trial,2017,J Paediatr Child Health,132,Y,Y,Y,Low risk,"Neonates, who had completed 5 days of appropriate antibiotic therapy (based on in vitro antibiotic sensitivity testing), were randomised at the end of day 5 to receive either 7 or 10 days duration of antibiotics, provided they were in clinical remission, not requiring FiO2 > 0.4, not requiring any inotropic support, without active bleeding and tolerating enteral feeds",arbitrary durations,0,Y,Y,128,66,66,64,64,Not reported,Not reported,7,10,Not reported,Not reported,NI,NA,NA,mITT,none,N,PN,Some concerns,Some concerns,Some concerns,Y,NA,NA,NA,Low risk,"Treatment failure defined by the reappearance of signs and symptoms of sepsis within 28 days of stopping antibiotics, supported by the presence of a positive blood culture growing the same organism (with similar antibiogram) as cultured earlier. Any symptomatic sepsis episode within 28 days of stopping antibiotics with a reactive CRP (≥0.6 mg/dL) but a sterile blood culture was regarded as treatment failure if deemed so by the expert committee.",28 days of stopping antibiotics,N,PN,Y,PY,PN,Some concerns,NI,N,NI,Some concerns,Some concerns,non-inferiority,16,mITT,none,0,NA,NA,absolute difference,Not reported,loss to follow up,investigator initiated,culture of sterile site,Neonates with suspected sepsis were started on empirical antibiotic treatment (intravenous ceftriaxone and amikacin) as per the neonatal intensive care unit (NICU) protocol based on the culture-sensitivity patterns of bacterial isolates in our NICU from previous 2-year records. Antibiotics were revised according to the sensitivity pattern obtained between 48 and 72 h.,various,various,1,28,28 days of stopping antibiotics,1,1,0,0,hospital los,2,2,0,
36,27455166,Duration of Antibiotic Treatment in Community-Acquired Pneumonia: A Multicenter Randomized Clinical Trial,2016,JAMA Intern Med,312,Y,Y,Y,Low risk,"treated with antibiotics for a minimum of 5 days, and the antibiotic treatment was stopped at this point if their body temperature was 37.8°C or less for 48 hours and they had no more than 1 CAP-associated sign of clinical instability, defined as systolic blood pressure less than 90 mm Hg, heart rate greater than 100/min, respiratory rate greater than 24 /min, arterial oxygen saturation less than 90%, or Pao2 less than 60 mm Hg in room air",treatment protocol,0,Y,Y,312,162,150,146,137,6,Not reported,NA,NA,5,10,NI,NA,NA,ITT,PP,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,CAP symptom questionnaire mean score,day 10 and late follow-up (day 30) since admission,N,PN,Y,Y,PY,High risk,Y,N,N,Low risk,High risk,non-inferiority,3,ITT,PP,0,0,NA,absolute difference,Medical chart,NA,investigator initiated,clinical syndrome,"In both groups, antibiotic type was chosen empirically by physicians according to local guidelines.",various,various,0,10,day 10 and late follow-up (day 30) since admission,1,0,0,1,0,8,11,2,clinical success at day 30 taken as clinical outcome
38,26947523,"Efficacy and safety of procalcitonin guidance in reducing the duration of antibiotic treatment in critically ill patients: a randomised, controlled, open-label trial",2016,Lancet infectious disease,1575,Y,Y,Y,Low risk,receive either procalcitonin-guided or standard-of-care antibiotic discontinuation,inflammatory markers,0,Y,Y,1546,776,799,538,457,NA,NA,NA,NA,5,7,NI,NA,NA,mITT,PP,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,consumption of antibiotics (expressed as defined daily doses) and duration of antibiotic treatment (defined as the number of 24 h periods between start and end of antibiotic treatment) in in the two groups for all randomised patients who were not excluded (the modified intention-to-treat population).,"Patients were followed up for 1 year after entering the study, allowing assessment of 28-day and 1-year mortality.",N,N,Y,PN,NA,Low risk,Y,N,N,Low risk,Some concerns,non-inferiority,8,mITT,PP,0,0,NA,absolute difference,Medical chart,"loss to follow up, protocol deviation",Thermo Fisher Scientific,"clinical syndrome, culture",,various,various,1,28,"Patients were followed up for 1 year after entering the study, allowing assessment of 28-day and 1-year mortality.",1,0,0,0,"hospital los, direct costs",20,25,23,56% did not stop abx in the PCT arm within 24 hours. mortality at day 28 taken as clinical outcome
39,28002709,Shortened Antimicrobial Treatment for Acute Otitis Media in Young Children,2016,NEJM,520,Y,Y,Y,Low risk,"10-day course of amoxicillin–clavulanate at a total daily dose of 90 mg of amoxicillin and 6.4 mg of clavulanate per kilogram of body weight, provided in two bottles (for days 1 to 5 and days 6 to 10), or a 5-day course of amoxicillin–clavulanate (provided in one bottle) followed by a 5-day course of placebo (provided in a second bottle)",arbitrary durations,0,Y,Y,515,258,257,Not reported,Not reported,Not reported,Not reported,5,10,Not reported,Not reported,NI,NA,NA,ITT,PP,PY,NA,Some concerns,Low risk,Some concerns,N,PN,PY,PN,Some concerns,the percentage of children who had clinical failure after treatment of the index infection,"We assessed children on day 4, 5, or 6 by means of telephone conversations with the parents and at an end-of-treatment office visit, usually on day 12, 13, or 14",N,PN,Y,PY,PN,Some concerns,Y,N,N,Low risk,Some concerns,non-inferiority,10,ITT,PP,1,1,long,absolute difference,Self reporting,did not fulfill inclusion criteria,investigator initiated,clinical syndrome,"either a 10-day course of amoxicillin–clavulanate at a total daily dose of 90 mg of amoxicillin and 6.4 mg of clavulanate per kilogram of body weight, provided in two bottles (for days 1 to 5 and days 6 to 10), or a 5-day course of amoxicillin–clavulanate (provided in one bottle) followed by a 5-day course of placebo (provided in a second bottle).",Amxocillin/clav,Amxocillin/clav,0,14,"We assessed children on day 4, 5, or 6 by means of telephone conversations with the parents and at an end-of-treatment office visit, usually on day 12, 13, or 14",1,1,1,1,0,34,16,0,"Of 470 children for whom medication data for the index episode were available, 435 (93%) reportedly received all scheduled medication doses during the first 3 days of treatment, and 418 (89%) also received at least 80% of doses overall."
40,26611777,A Randomized Clinical Trial of Single-Dose Versus Weekly Dalbavancin for Treatment of Acute Bacterial Skin and Skin Structure Infection,2016,CID,698,Y,Y,Y,Low risk,a single intravenous infusion of 1500 mg of dalbavancin over 30 minutes or in 2 doses as 1000 mg intravenously over 30 minutes followed 1 week later by 500 mg intravenously,arbitrary durations,1,N,N,698,349,349,271,267,0,2,1,7,NA,NA,NA,NA,NA,ITT,PP,Y,NA,Low risk,Low risk,Low risk,N,N,PY,PN,Some concerns,≥20% reduction in the area of erythema at 48–72 hours in the intent-to-treat population,The primary endpoint was a ≥20% reduction in the area of erythema at 48–72 hours in the intent-to-treat population.,N,N,N,NA,NA,Low risk,Y,N,N,Low risk,Some concerns,non-inferiority,10,ITT,PP,0,0,NA,absolute difference,Medical chart,NA,Durata Therapeutics and Allergan plc,clinical syndrome,,dalbavancin,dalbavancin,1,3,The primary endpoint was a ≥20% reduction in the area of erythema at 48–72 hours in the intent-to-treat population.,1,1,0,1,hospital los,16,6,0,"Dalbavancin is a lipoglycopeptide antibiotic with activity against the gram-positive pathogens responsible for ABSSSI, including MRSA. Its pharmacokinetic/pharmacodynamic properties would predict that larger doses given early in the course of therapy would be most beneficial [6, 7]. Currently approved therapy is given as 2 doses 1 week apart, a regimen made possible by its terminal half-life of 15.5 days."
41,27382274,Point-of-care procalcitonin test to reduce antibiotic exposure in patients hospitalized with acute exacerbation of COPD,2016,Int J Chron Obstruct Pulmon Dis,120,Y,Y,Y,Low risk,initiation or continuation of antibiotics was strongly discouraged if PCT was 0.15 ng/mL or lower and discouraged if levels were between 0.15 ng/mL and 0.25 ng/mL. Initiation or continuation of antibiotics was encouraged if PCT was >0.25 ng/mL,inflammatory markers,0,Y,Y,120,62,58,38,46,24,0,NA,NA,4,9,NI,NA,NA,ITT,PP,PY,NA,Some concerns,Low risk,Some concerns,N,NI,NI,NI,High risk,"fraction of patients using antibiotics for ≥5 days within 28 days after inclusion, which was evaluated by overall antibiotic exposure",28 days after inclusion,N,N,Y,PN,NA,Low risk,NI,N,NI,Some concerns,High risk,difference,NA,ITT,PP,0,0,NA,absolute difference,Medical chart,NA,bioMérieux,clinical syndrome,"The empiric first choice of antibiotic drug followed local guidelines in both groups, namely oral amoxicillin clavulanate in clinically stable patients and intravenous piperacillin/tazobactam in unstable patients",various,various,0,28,28 days after inclusion,1,0,0,1,hospital los,35,26,3,Composite adverse events taken as clinical outcome
42,25468170,"Antibiotic treatment for 6 weeks versus 12 weeks in patients with pyogenic vertebral osteomyelitis: an open-label, non-inferiority, randomised, controlled trial",2015,Lancet,359,Y,Y,Y,Low risk,6 weeks or 12 weeks of antibiotic treatment (encompassing any parenteral and oral periods of treatment).,arbitrary durations,0,Y,Y,351,176,175,146,137,0,16,42,84,42,84,NI,NA,NA,mITT,PP,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,"proportion of patients who were classified as cured at 1 year by a masked independent validation committee, analysed by intention to treat",cured at 1 year by a masked independent validation committee,N,PN,N,NA,NA,Low risk,Y,N,N,Low risk,Some concerns,non-inferiority,10,mITT,PP,0,0,NA,absolute difference,Medical chart,"loss to follow up, protocol deviation",investigator initiated,culture of sterile site,"The most frequently used antibiotics were oral fluoroquinolones or rifampicin or a combination of both in 253 (72%) patients, followed by oral aminopenicillin (98 [28%] patients; table 4). Parenteral meticillin (133 [38%] patients) and aminoglycosides (213 [61%]) were used during the initial intravenous phase of treatment",various,various,1,365,cured at 1 year by a masked independent validation committee,1,0,0,1,0,9,9,7,
43,25658564,Postprescription review improves in-hospital antibiotic use: a multicenter randomized controlled trial,2015,Clin Microbiol Infect,246,Y,Y,Y,Low risk,"postprescription review and
  advice from the ASP IDP experts",ASP (ID physician or electronic programmes),0,Y,Y,246,123,123,116,123,7,0,NA,NA,7,10,NI,NA,NA,ITT,none,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,"appropriateness of antimicrobial therapy, a composite score of appropriateness of
  antibiotic use at days 3 to 4 and appropriate treatment duration, adjudicated by a blinded committee","appropriateness of antimicrobial therapy, a composite score of appropriateness of
  antibiotic use at days 3 to 4 and appropriate treatment duration, adjudicated by a blinded committee",N,N,N,NA,NA,Low risk,Y,PY,N,High risk,High risk,difference,NA,ITT,none,0,NA,NA,absolute difference,Medical chart,NA,investigator initiated,"clinical syndrome, culture",,various,various,1,NA,"appropriateness of antimicrobial therapy, a composite score of appropriateness of
  antibiotic use at days 3 to 4 and appropriate treatment duration, adjudicated by a blinded committee",1,0,0,0,direct and indirect costs,19,23,1,clinical improvement at day 3 taken as clinical outcome
45,25992746,Trial of short-course antimicrobial therapy for intraabdominal infection,2015,NEJM,518,Y,Y,Y,Low risk,"receive antibiotics until 2 days after the resolution of fever, leukocytosis, and ileus, with a maximum of 10 days of therapy (control group), or to receive a fixed course of antibiotics (experimental group) for 4±1 calendar days",arbitrary durations,0,Y,Y,518,258,260,211,189,47,36,4,NA,4,8,NI,NA,NA,ITT,PP,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,a surgical-site infection or recurrent intraabdominal infection developed or in whom death occurred within 30 days after the index source-control procedure,NA,N,PN,Y,PY,PN,Some concerns,Y,N,N,Low risk,Some concerns,difference,10,ITT,PP,0,0,NA,absolute difference,Medical chart,withdrew consent,investigator initiated,"clinical syndrome, culture",,various,various,1,30,NA,1,1,0,1,hospital los,22,22,1,
49,26288467,Comparative evaluation of 2 g single dose versus conventional dose azithromycin in uncomplicated skin and skin structure infections,2015,Indian J Pharmacol,294,Y,Y,Y,Low risk,One group (n = 146) received 2 g single supervised dose while the other (n = 146) received conventional dose of 500 mg once daily for 5 days.,arbitrary durations,0,Y,Y,294,148,146,148,126,0,20,1,5,not reported,not reported,NI,NA,NA,mITT,none,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,"Complete clinical cure implied complete healing of lesions, without residual signs or symptoms, within 7 days",Subjects were followed up on day 4 and day 8.,N,PN,Y,PY,PN,Some concerns,NI,N,NI,Some concerns,Some concerns,difference,NA,mITT,none,0,NA,NA,absolute difference,Direct observation,loss to follow up,investigator initiated,clinical syndrome,,Azithromycin,Azithromycin,0,7,Subjects were followed up on day 4 and day 8.,1,0,0,1,0,2,1,0,
51,25294250,Single-dose oritavancin versus 7-10 days of vancomycin in the treatment of gram-positive acute bacterial skin and skin structure infections: the SOLO II noninferiority study,2015,CID,1019,Y,Y,Y,Low risk,single intravenous 1200-mg dose of oritavancin or 7–10 days of twice-daily vancomycin,arbitrary durations,1,N,N,1005,509,510,427,408,0,35,1,8,1,8,NA,NA,N,ITT,PP,Y,NA,Low risk,Low risk,Low risk,Y,NA,NA,NA,Low risk,"primary composite endpoint at 48–72 hours (cessation of spreading or reduction in lesion size, absence of fever, and no rescue antibiotic)","primary composite endpoint at 48–72 hours (cessation of spreading or reduction in lesion size, absence of fever, and no rescue antibiotic)",N,N,N,NA,NA,Low risk,PN,PN,N,Some concerns,Some concerns,non-inferiority,10,ITT,PP,0,0,NA,absolute difference,Medical chart,loss to follow up,The Medicines Company,clinical syndrome,,oritavancin,vancomycin,0,3,"primary composite endpoint at 48–72 hours (cessation of spreading or reduction in lesion size, absence of fever, and no rescue antibiotic)",1,0,0,1,0,20,17,0,
53,25263498,"Single-dose compared with multiple day antibiotic prophylaxis for cesarean section in low-resource settings, a randomized controlled, noninferiority trial",2015,Obs and Gynae,181,Y,Y,Y,Low risk,single prophylactic dose of ampicillin combined with metronidazole to prevent postcesarean section infections compared with a multiple day regimen,arbitrary durations,0,Y,Y,176,89,87,Not reported,Not reported,Not reported,Not reported,1 dose,5,Not reported,Not reported,NI,NA,NA,ITT,none,N,PN,Some concerns,Some concerns,Some concerns,Y,NA,NA,NA,Low risk,maternal postcesarean infection,,N,PN,Y,PY,PN,Some concerns,NI,N,NI,Some concerns,Some concerns,non-inferiority,10,ITT,none,0,NA,NA,absolute difference,Not reported,NA,investigator initiated,NA,,ampicillin and metronidazole,ampicillin and metronidazole,0,during hospitalisation,,1,0,0,0,hospital los,7,10,0,
54,23989106,"Short-course antibiotic treatment for community-acquired alveolar pneumonia in ambulatory children: a double-blind, randomized, placebo-controlled trial",2014,Pediatric Infectious Disease Journal,140,Y,Y,Y,Low risk,clinical and laboratory outcomes of a 3-day or a 5-day to a 10-day treatment in young children with community-acquired alveolar pneumonia.,arbitrary durations,1,N,N,115,56,59,Not reported,Not reported,Not reported,Not reported,5,10,Not reported,Not reported,NA,NA,NA,PP,none,N,Y,Low risk,High risk,High risk,N,N,PY,PN,Some concerns,need for a rescue treatment or hospitalization,Scheduled visits were on days 4–5 and 10–14 with daily telephone interviews for 30 days.,N,N,N,NA,NA,Low risk,NI,N,NI,Some concerns,High risk,non-inferiority,10,PP,none,NA,0,NA,absolute difference,Not reported,"loss to follow up, protocol deviation",investigator initiated,clinical syndrome,,Amxocillin,Amxocillin,0,30,Scheduled visits were on days 4–5 and 10–14 with daily telephone interviews for 30 days.,1,0,0,0,0,0,0,0,
55,24035770,Short versus long course of antibiotics for catheter-associated urinary tract infections in patients with spinal cord injury: A randomized controlled noninferiority trial,2014,Archives of physical medicine and rehab,61,Y,Y,Y,Low risk,5-day regimen of antibiotics after catheter exchange (experimental group) or a 10-day regimen of antibiotics with catheter retention (control group),arbitrary durations,0,Y,Y,55,28,27,Not reported,Not reported,Not reported,Not reported,5,10,Not reported,Not reported,NI,NA,NA,PP,none,N,Y,Some concerns,High risk,High risk,Y,NA,NA,NA,Low risk,Clinical cure at the end of therapy,end of treatment,N,PN,Y,PY,PN,Some concerns,NI,N,NI,Some concerns,High risk,non-inferiority,10,PP,none,NA,0,NA,absolute difference,Not reported,protocol deviation,investigator initiated,"clinical syndrome, culture","We standardized the choice of empirical antibiotics to include an oral fluoroquinolone (for gram-negative bacteria) and amoxicillin (for gram-positive bacteria, namely the enterococci). Patients who either were allergic to fluoroquinolone and penicillin or could not take oral antibiotics received intravenous aztreonam (for gram-negative bacteria) and vancomycin (for gram-positive bacteria). In selected patients with previous history of UTI caused by antibiotic-resistant organisms, empirical antibiotic regimens were chosen according to the previous culture results.",various,various,1,10,end of treatment,1,1,0,1,0,18,11,0,Comparing catheter removal in short arm and with retention in long arm
57,24636266,Procalcitonin-guided antibiotic therapy in aspiration pneumonia and an assessment of the continuation of oral intake,2014,Respiratory invest,105,Y,Y,Y,Low risk,different durations of antibiotic therapy based on the procalcitonin levels upon admission (procalcitonin group) or according to the standard guidelines (control group),inflammatory markers,0,Y,Y,96,53,52,Not reported,Not reported,Not reported,Not reported,NA,NA,5,8,NI,NA,NA,ITT,none,N,Y,Some concerns,High risk,High risk,Y,NA,NA,NA,Low risk,relapse of aspiration pneumonia and death within 30 days,relapse of aspiration pneumonia and death within 30 days,N,PN,Y,PY,PN,Some concerns,NI,N,NI,Some concerns,High risk,non-inferiority,10,ITT,none,0,NA,NA,absolute difference,Not reported,"withdrew consent, protocol deviation",investigator initiated,clinical syndrome,"In both groups, the choice of antibiotic regimen was left to the discretion of the treating physician.",various,various,0,30,relapse of aspiration pneumonia and death within 30 days,1,0,0,0,0,25,38,16,
58,24909499,"Tedizolid for 6 days versus linezolid for 10 days for acute bacterial skin and skin-structure infections (ESTABLISH-2): a randomised, double-blind, phase 3, non-inferiority trial",2014,Lancet infectious disease,666,Y,Y,Y,Low risk,"intravenous once-daily tedizolid (200 mg for 6 days) or twice-daily linezolid (600 mg for 10 days), with optional oral step-down",arbitrary durations,1,N,N,666,332,334,290,298,11,23,6,10,Not reported,Not reported,NA,NA,NA,ITT,none,PY,NA,Low risk,Low risk,Low risk,Y,NA,NA,NA,Low risk,early clinical response (≥20% reduction in lesion area at 48–72 h compared with baseline),early clinical response (≥20% reduction in lesion area at 48–72 h compared with baseline),N,N,N,NA,NA,Low risk,Y,N,N,Low risk,Low risk,non-inferiority,10,ITT,none,0,NA,NA,absolute difference,Medical chart,"loss to follow-up, protocol deviation",Cubist Pharmaceuticals,"clinical syndrome, culture",,tedizolid,linezolid,1,3,early clinical response (≥20% reduction in lesion area at 48–72 h compared with baseline),1,0,0,1,0,15,17,0,
60,25295709,Procalcitonin algorithm in critically ill adults with undifferentiated infection or suspected sepsis. A randomized controlled trial,2014,American Journal of Respiratory and Critical Care Medicine,400,Y,Y,Y,Low risk,"PCT was measured daily while in the ICU. A PCT algorithm, including 0.1 ng/ml cut-off, determined antibiotic cessation.",inflammatory markers,0,Y,Y,394,196,198,Not reported,Not reported,Not reported,Not reported,NA,NA,9,11,NI,NA,NA,ITT,none,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,cumulative number of antibiotics treatment days at Day 28,cumulative number of antibiotics treatment days at Day 28,N,N,Y,PN,NA,Low risk,PY,N,N,Low risk,Some concerns,superiority,NA,ITT,none,0,NA,NA,absolute difference,Medical chart,withdrew consent,investigator initiated,clinical syndrome,,various,various,1,28,cumulative number of antibiotics treatment days at Day 28,1,1,0,0,hospital los,18,16,17,90 day all cause mortality taken as clinical outcome
62,23403680,Tedizolid phosphate vs linezolid for treatment of acute bacterial skin and skin structure infections: the ESTABLISH-1 randomized trial,2013,JAMA,667,Y,Y,Y,Low risk,200 mg once daily dose of oral tedizolid phosphate for 6 days or 600 mg of oral linezolid every 12 hours for 10 days,arbitrary durations,1,N,N,667,332,335,279,280,not reported,not reported,6,10,Not reported,Not reported,NA,NA,NA,mITT,PP,Y,NA,Low risk,Low risk,Low risk,Y,NA,NA,NA,Low risk,early clinical response at the 48- to 72-hour assessment in the ITT analysis set,early clinical response at the 48- to 72-hour assessment in the ITT analysis set,N,N,N,NA,NA,Low risk,Y,N,N,Low risk,Low risk,non-inferiority,10,mITT,PP,0,0,NA,absolute difference,Not reported,"loss to follow up, withdrew consent",Trius Therapeutics,"clinical syndrome, culture",,Tedizolid,Linezolid,0,3,early clinical response at the 48- to 72-hour assessment in the ITT analysis set,1,0,0,1,0,30,30,0,
63,23936304,Procalcitonin guidance to reduce antibiotic treatment of lower respiratory tract infection in children and adolescents (ProPAED): a randomized controlled trial,2013,Plos One,337,Y,Y,Y,Low risk,receive antibiotics either according to a PCT guidance algorithm established for adult LRTI or standard care clinical guidelines,inflammatory markers,0,Y,Y,337,168,169,Not reported,Not reported,Not reported,Not reported,NA,NA,5,6,NI,NA,NA,ITT,none,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,"duration of antibiotic
  treatment, days",,N,N,Y,PN,NA,Low risk,Y,N,N,Low risk,Some concerns,difference,NA,ITT,none,0,NA,NA,absolute difference,Medical chart,NA,investigator initiated,clinical syndrome,,various,various,0,14,,1,0,0,1,hospital los,62,60,0,hospitalisation taken as clinical end point
